Price,Close,Close,Close,Dividends,Dividends,Dividends,High,High,High,Low,Low,Low,Open,Open,Open,Stock Splits,Stock Splits,Stock Splits,Volume,Volume,Volume
Ticker,IFRA11.SA,JURO11.SA,KDIF11.SA,IFRA11.SA,JURO11.SA,KDIF11.SA,IFRA11.SA,JURO11.SA,KDIF11.SA,IFRA11.SA,JURO11.SA,KDIF11.SA,IFRA11.SA,JURO11.SA,KDIF11.SA,IFRA11.SA,JURO11.SA,KDIF11.SA,IFRA11.SA,JURO11.SA,KDIF11.SA
Date,,,,,,,,,,,,,,,,,,,,,
2025-06-11,93.55810546875,97.69273376464844,121.22149658203125,0.0,0.0,0.0,94.35396596071425,97.82141738765105,122.96769147815608,93.34194397803452,97.39576226258207,120.93377072753316,93.81356973016257,97.50465130985313,122.92800437034168,0.0,0.0,0.0,14487,31964,26900
2025-06-12,92.6738052368164,96.81172943115234,121.29094696044922,0.0,0.0,0.0,94.21640326916125,97.48485830133181,122.4021632690892,92.4576437615697,96.05940715217548,120.84448024485324,93.80373545072831,97.02949997689643,121.90608577640843,0.0,0.0,0.0,17879,43316,22230
2025-06-13,93.2142105102539,97.21758270263672,122.44185638427734,0.0,0.0,0.0,93.74478664136412,97.50465314609401,123.00738445089856,92.67380681294631,96.79192756955165,121.04291415290047,93.28298848116246,96.9107176830751,121.9656186373395,0.0,0.0,0.0,11101,43111,29579
2025-06-16,94.52099609375,97.2571792602539,122.86847686767578,0.0,0.0,0.0,94.95331907051451,97.88081036263699,123.4935393891504,93.42054851105772,97.18788691554467,121.56875618385385,93.68583284010333,97.21758255580589,122.83871342751837,0.0,0.0,0.0,10582,41709,31590
2025-06-17,94.42273712158203,98.50444793701172,124.26741790771484,0.0,0.0,0.0,94.81575730395453,98.54404464102548,124.43608244666792,94.27535361616277,96.66324273801719,122.86847567752918,94.52099029311603,97.25717819362531,122.86847567752918,0.0,0.0,0.0,9947,46036,15367
2025-06-18,94.68803405761719,98.68262481689453,125.92431640625,0.0,0.0,0.0,94.94349081819041,98.92019747781552,126.00369062648439,93.55810378320308,98.15798172922376,124.28725906924156,94.4718725707961,98.4945423695036,124.51545806002986,0.0,0.0,0.0,26131,32858,21753
2025-06-20,95.5035400390625,98.98949432373047,125.07106018066406,0.0,0.0,0.0,95.70988145095541,98.98949432373047,126.22196364443762,94.6880319427747,98.12828300428635,124.08882882419672,94.91401349486813,98.72222601206798,126.00368832754663,0.0,0.0,0.0,10945,41021,10125
2025-06-23,94.7175064086914,98.46485137939453,126.06321716308594,0.0,0.0,0.0,95.50353929609003,98.96969991594662,126.06321716308594,94.7175064086914,98.15798636320555,123.2951036886847,95.50353929609003,98.33616020308374,125.01153524124643,0.0,0.0,0.0,11939,39668,18773
2025-06-24,94.7175064086914,97.50465393066406,126.40055084228516,0.0,0.0,0.0,95.42494125471583,98.77171827591295,126.47992506043734,94.32448621687377,97.41556700902902,124.0293009541686,94.32448621687377,98.46485325388214,124.0293009541686,0.0,0.0,0.0,11525,39981,24445
2025-06-25,93.39106750488281,97.27696990966797,125.12066650390625,0.0,0.0,0.0,94.71750406017128,97.8610118363269,126.36086024249106,93.3517647370519,97.03939724486885,124.61466533909194,94.52099022101669,97.5046490629788,126.00368384021529,0.0,0.0,0.0,32491,37001,19185
2025-06-26,93.42054748535156,97.57394409179688,124.34678649902344,0.0,0.0,0.0,94.03954924381968,97.73233090755704,126.27156202901678,93.34194194566889,97.02949885299516,124.33686282966883,93.48932545851468,97.2769725883961,125.25956727155982,0.0,0.0,0.0,11116,31809,15780
2025-06-27,93.39106750488281,97.95999908447266,126.37078857421875,0.0,0.0,0.0,95.40528375662116,97.95999908447266,126.47000256305758,93.3517647370519,97.0196019437995,124.61466993664867,94.08867476734953,97.80161982655768,124.86270869351681,0.0,0.0,0.0,30860,56726,34194
2025-06-30,95.14000701904297,97.95999908447266,126.47000122070312,0.0,0.0,0.0,95.14000701904297,97.95999908447266,126.47000122070312,93.44019778214133,97.5739406749501,125.40839565535704,93.44019778214133,97.9500980207596,125.40839565535704,0.0,0.0,0.0,12175,37575,9830
2025-07-01,97.5,97.0,125.29000091552734,1.69,1.0,1.0,98.41999816894531,98.52999877929688,127.7300033569336,94.9000015258789,96.52999877929688,125.29000091552734,95.68000030517578,98.08999633789062,126.5,0.0,0.0,0.0,35677,75354,21742
2025-07-02,95.95999908447266,97.5999984741211,125.69999694824219,0.0,0.0,0.0,97.97000122070312,97.68000030517578,126.79000091552734,95.95999908447266,96.8499984741211,124.5199966430664,97.4000015258789,97.4000015258789,125.5,0.0,0.0,0.0,16143,34617,18841
2025-07-03,97.0999984741211,97.2699966430664,125.30999755859375,0.0,0.0,0.0,97.77999877929688,97.69999694824219,126.47000122070312,96.01000213623047,97.0999984741211,124.91000366210938,96.94000244140625,97.5999984741211,125.69999694824219,0.0,0.0,0.0,17053,31343,14332
2025-07-04,98.86000061035156,98.2300033569336,124.93000030517578,0.0,0.0,0.0,99.13999938964844,98.26000213623047,125.83999633789062,95.55999755859375,97.3499984741211,124.91000366210938,97.0999984741211,97.97000122070312,125.4000015258789,0.0,0.0,0.0,40278,26600,13634
2025-07-07,98.62000274658203,97.98999786376953,125.05000305175781,0.0,0.0,0.0,99.0,98.38999938964844,125.62000274658203,97.41000366210938,97.19000244140625,124.91000366210938,98.86000061035156,98.26000213623047,125.20999908447266,0.0,0.0,0.0,27282,41108,13431
2025-07-08,98.48999786376953,97.94999694824219,125.38999938964844,0.0,0.0,0.0,98.9800033569336,98.20999908447266,125.41000366210938,97.69000244140625,97.63999938964844,124.91000366210938,98.62000274658203,98.0,125.12999725341797,0.0,0.0,0.0,14558,27618,11627
2025-07-09,98.77999877929688,97.66000366210938,123.51000213623047,0.0,0.0,0.0,98.9800033569336,98.0999984741211,125.37000274658203,98.0,97.63999938964844,123.43000030517578,98.48999786376953,97.69999694824219,124.98999786376953,0.0,0.0,0.0,7136,22249,21780
2025-07-10,98.9800033569336,97.02999877929688,123.30999755859375,0.0,0.0,0.0,99.25,97.72000122070312,123.51000213623047,97.69000244140625,97.0199966430664,122.75,98.9000015258789,97.58999633789062,123.51000213623047,0.0,0.0,0.0,37516,37436,20949
2025-07-11,98.3499984741211,97.79000091552734,124.0,0.0,0.0,0.0,99.7699966430664,97.98999786376953,124.45999908447266,98.3499984741211,97.16999816894531,122.91000366210938,98.9800033569336,97.61000061035156,123.47000122070312,0.0,0.0,0.0,10160,32175,11433
